STATION_ID,DURATION,SENSOR_NUMBER,SENSOR_TYPE,DATE TIME,OBS DATE,VALUE,DATA_FLAG,UNITS
MRN,H,2,RAIN,20240114 2100,20240114 2100,3.00, ,INCHES
MRN,H,2,RAIN,20240114 2200,20240114 2200,3.00, ,INCHES
MRN,H,2,RAIN,20240114 2300,20240114 2300,3.00, ,INCHES
MRN,H,2,RAIN,20240115 0000,20240115 0000,3.00, ,INCHES
MRN,H,2,RAIN,20240115 0100,20240115 0100,3.00, ,INCHES
MRN,H,2,RAIN,20240115 0200,20240115 0200,3.00, ,INCHES
MRN,H,2,RAIN,20240115 0300,20240115 0300,3.00, ,INCHES
MRN,H,2,RAIN,20240115 0400,20240115 0400,3.00, ,INCHES
MRN,H,2,RAIN,20240115 0500,20240115 0500,3.00, ,INCHES
MRN,H,2,RAIN,20240115 0600,20240115 0600,3.00, ,INCHES
MRN,H,2,RAIN,20240115 0700,20240115 0700,3.00, ,INCHES
MRN,H,2,RAIN,20240115 0800,20240115 0800,3.00, ,INCHES
MRN,H,2,RAIN,20240115 0900,20240115 0900,3.00, ,INCHES
MRN,H,2,RAIN,20240115 1000,20240115 1000,3.00, ,INCHES
MRN,H,2,RAIN,20240115 1100,20240115 1100,3.00, ,INCHES
MRN,H,2,RAIN,20240115 1200,20240115 1200,3.00, ,INCHES
MRN,H,2,RAIN,20240115 1300,20240115 1300,3.00, ,INCHES
MRN,H,2,RAIN,20240115 1400,20240115 1400,3.00, ,INCHES
MRN,H,2,RAIN,20240115 1500,20240115 1500,3.00, ,INCHES
MRN,H,2,RAIN,20240115 1600,20240115 1600,3.00, ,INCHES
MRN,H,2,RAIN,20240115 1700,20240115 1700,3.00, ,INCHES
MRN,H,2,RAIN,20240115 1800,20240115 1800,3.00, ,INCHES
MRN,H,2,RAIN,20240115 1900,20240115 1900,3.00, ,INCHES
MRN,H,2,RAIN,20240115 2000,20240115 2000,3.00, ,INCHES
